codmpio,depto,mpio,found,source,found2,comments
25580,CUNDINAMARCA,PULI,1800,WEB.MUN,,
25592,CUNDINAMARCA,QUEBRADANEGRA,1694,WEB.MUN,,
25594,CUNDINAMARCA,QUETAME,1826,BZ93,,
25596,CUNDINAMARCA,QUIPILE,1825,WEB.MUN,,
25599,CUNDINAMARCA,APULO,1908,BZ93,,
25612,CUNDINAMARCA,RICAURTE,1887,BZ93,,
25645,CUNDINAMARCA,SAN ANTONIO DEL TEQUENDAMA,1860,BZ93,1857,
25649,CUNDINAMARCA,SAN BERNARDO,1910,BZ93,,
25653,CUNDINAMARCA,SAN CAYETANO,1824,WEB.MUN,1883,First founded then recogniced as municipality
25658,CUNDINAMARCA,SAN FRANCISCO,1857,BZ93,,
25662,CUNDINAMARCA,SAN JUAN,1543,BZ93,,
25718,CUNDINAMARCA,SASAIMA,1541,BZ93,,
25743,CUNDINAMARCA,SILVANIA,1935,BZ93,,
25745,CUNDINAMARCA,SIMIJACA,1584,BZ93,,
25754,CUNDINAMARCA,SOACHA,1870,BZ93,,
25769,CUNDINAMARCA,SUBACHOQUE,1769,BZ93,,
25772,CUNDINAMARCA,SUESCA,1537,BZ93,,
25777,CUNDINAMARCA,SUPATA,1882,BZ93,,
25779,CUNDINAMARCA,SUSA,1550,BZ93,,
25797,CUNDINAMARCA,TENA,1548,BZ93,,
25805,CUNDINAMARCA,TIBACUY,1557,BZ93,,
25807,CUNDINAMARCA,TIBIRITA,1593,WEB.MUN,,
25815,CUNDINAMARCA,TOCAIMA,1544,BZ93,,
25839,CUNDINAMARCA,UBALA,1846,BZ93,,
25843,CUNDINAMARCA,VILLA DE SAN DIEGO DE UBATE,1592,BZ93,,
25845,CUNDINAMARCA,UNE,1538,BZ93,,
25851,CUNDINAMARCA,UTICA,1867,BZ93,,
25862,CUNDINAMARCA,VERGARA,1802,WEB.MUN,,
25867,CUNDINAMARCA,VIANI,1853,BZ93,,
25871,CUNDINAMARCA,VILLAGOMEZ,1965,BZ93,,
25873,CUNDINAMARCA,VILLAPINZON,1773,BZ93,,
25875,CUNDINAMARCA,VILLETA,1551,BZ93,,
25878,CUNDINAMARCA,VIOTA,1767,WEB.MUN,,
25885,CUNDINAMARCA,YACOPI,1890,BZ93,,
25898,CUNDINAMARCA,ZIPACON,1650,BZ93,,
25899,CUNDINAMARCA,ZIPAQUIRA,1692,BZ93,,
27001,CHOCO,QUIBDO,1654,BZ93,,
27006,CHOCO,ACANDI,1908,WEB.MUN,,
27245,CHOCO,EL CARMEN DEL ATRATO,1874,WEB.MUN,,
41001,HUILA,NEIVA,1539,BZ93,,
41006,HUILA,CONCEPCION,1756,WEB.MUN,,Today Acevedo
41013,HUILA,AGRADO,1760,BZ93,,
41016,HUILA,AIPE,1751,BZ93,,
41020,HUILA,ALGECIRAS,1924,BZ93,,
